regid,regcode,reglab,Urban
435603799,ASINDSAN,"India, Sangrur District ",31
435604099,ASINDTAM,"India, Tamil Nadu ",48
435604199,ASINDAHM,"India, Ahmedabad, Urban ",100
436400199,ASIRNARD,"Iran (Islamic Republic of), Ardabil Province ",68
436400399,ASIRNGOL,"Iran (Islamic Republic of), Golestan Province ",50
437600090,ASISR10jew,Israel: Jews ,
437600094,ASISR10ara,Israel: Arabs ,
437600099,ASISR10,Israel ,90
439200099,ASJAP10,Japan ,100
439200199,ASJAPHIR,"Japan, Hiroshima Prefecture ",64.5
439200299,ASJAPMIY,"Japan, Miyagi Prefecture ",64
439200499,ASJAPOSA,"Japan, Osaka Prefecture ",95.7
439201099,ASJAPAIC,"Japan, Aichi Prefecture ",78
439201499,ASJAPAOM,"Japan, Aomori Prefecture ",
439201599,ASJAPGUN,"Japan, Gunma Prefecture ",
439201699,ASJAPAKI,"Japan, Akita Prefecture ",
441000099,ASKOS11,Republic of Korea ,81
441000299,ASKOSBUS,"Republic of Korea, Busan ",95
441000399,ASKOSSEO,"Republic of Korea, Seoul ",100
441000499,ASKOSDAG,"Republic of Korea, Daegu ",82
441000599,ASKOSDAJ,"Republic of Korea, Daejeon ",100
441000899,ASKOSULS,"Republic of Korea, Ulsan ",99.8
441000999,ASKOSJEJ,"Republic of Korea, Jeju ",
441001099,ASKOSGWA,"Republic of Korea, Gwangju ",95
441001199,ASKOSINC,"Republic of Korea, Incheon ",98
441400025,ASKUW10kuw,Kuwait: Kuwaitis ,
441400026,ASKUW10kux,Kuwait: Non-Kuwaitis ,
441400099,ASKUW10,Kuwait ,100
460800299,ASPHIMAN,"Philippines, Manila ",100
463400099,ASQAT10,Qatar: Qatari ,
470200020,ASSIN10chi,Singapore: Chinese ,
470200027,ASSIN10mal,Singapore: Malay ,
470200040,ASSIN10ind,Singapore: Indian ,
470200099,ASSIN10,Singapore ,100
476400199,ASTHACHI,"Thailand, Chiang Mai ",56
476400299,ASTHAKHO,"Thailand, Khon Kaen ",23
476400399,ASTHABAN,"Thailand, Bangkok ",
476400499,ASTHASON,"Thailand, Songkhla ",55
476400599,ASTHALAM,"Thailand, Lampang ",50
476400799,ASTHALOP,"Thailand, Lopburi Province ",60
479200199,ASTURIZM,"Turkey, Izmir ",91
479200299,ASTURANT,"Turkey, Antalya ",99
479200399,ASTURSAM,"Turkey, Samsun ",95
479200499,ASTURBUR,"Turkey, Bursa ",98.5
479200599,ASTURERZ,"Turkey, Erzurum ",87
479200699,ASTURESK,"Turkey, Eskişehir ",89
479200799,ASTUREDI,"Turkey, Edirne ",64.3
479200899,ASTURTRA,"Turkey, Trabzon ",89
479201099,ASTURGAZ,"Turkey, Gaziantep  ",99
479201199,ASTURMAL,"Turkey, Malatya ",89.01
504000099,EUAUT10,Austria ,
504000299,EUAUTCAR,"Austria, Carinthia ",51
504000799,EUAUTTYR,"Austria, Tyrol ",
504000899,EUAUTVOR,"Austria, Vorarlberg ",36
505600099,EUBEL10,Belgium ,87
511200099,EUBEA10,Belarus ,77
519100099,EUCRO10,Croatia ,56
519600099,EUCYP10,Cyprus ,68
520300099,EUCZE10,Czech Republic ,73
520800099,EUDEN10,Denmark ,
523300099,EUEST10,Estonia ,69
524600099,EUFIN10,Finland ,71
525000199,EUFRARBA,"France, Bas-Rhin ",87
525000299,EUFRACAL,"France, Calvados ",69
525000399,EUFRADOU,"France, Doubs ",78
525000499,EUFRARHA,"France, Haut-Rhin ",71
525000599,EUFRAISE,"France, Isère ",93
525000699,EUFRASOM,"France, Somme ",57
525000799,EUFRATAR,"France, Tarn ",68
525000899,EUFRAHER,"France, Hérault ",83
525000999,EUFRALIM,"France, Limousin ",76
525001099,EUFRAGIR,"France, Gironde ",65
525001199,EUFRABEL,"France, Territoire de Belfort ",90
525001499,EUFRALOI,"France, Loire-Atlantique ",79
525001599,EUFRAPOI,"France, Poitou-Charentes ",
525001699,EUFRAMAN,"France, Manche ",48
525001799,EUFRAVEN,"France, Vendée ",
525001899,EUFRANOR,"France, Lille-Métropole ",95
527600299,EUGERHAM,"Germany, Hamburg ",100
527600399,EUGERBAV,"Germany, Bavaria ",27
527600499,EUGERBAD,"Germany, Baden-Württemberg ",63
527600699,EUGERSAL,"Germany, Lower Saxony ",
527600999,EUGERRHP,"Germany, Rhineland-Palatinate ",25
527601199,EUGERRNW,"Germany, North Rhine-Westphalia ",
527601299,EUGERBRE,"Germany, Bremen ",100
527601699,EUGERSCH,"Germany, Schleswig-Holstein ",65
527603099,EUGERSAA,"Germany, Saarland ",
535200099,EUICE10,Iceland ,30
537200099,EUIRL10,Ireland ,63
538000199,EUITATUS,"Italy, Tuscany ",60
538000499,EUITAVAR,"Italy, Varese ",
538000699,EUITARAG,"Italy, Ragusa and Caltanissetta ",95
538000899,EUITATUR,"Italy, Turin ",88
538001399,EUITAVEN,"Italy, Veneto ",99
538001499,EUITAUMB,"Italy, Umbria ",52
538001599,EUITASAS,"Italy, Sassari ",
538001699,EUITANAP,"Italy, Naples South ",80
538001899,EUITAFVG,"Italy, Friuli-Venezia Giulia ",80
538001999,EUITATRE,"Italy, Trento ",58
538002299,EUITAGEN,"Italy, Genova ",68
538002599,EUITABRE,"Italy, Brescia ",
538002699,EUITAMIL,"Italy, Milan ",97
538002799,EUITASAL,"Italy, Salerno ",
538002899,EUITASON,"Italy, Sondrio ",
538002999,EUITASIR,"Italy, Syracuse ",
538003199,EUITANUO,"Italy, Nuoro ",
538003399,EUITAPAL,"Italy, Palermo ",50
538003499,EUITATYS,"Italy, South Tyrol ",35
538003799,EUITACAI,"Italy, Catania, Messina, and Enna ",
538004099,EUITALXP,"Italy, Lombardy, South, Pavia ",35
538004299,EUITABAS,"Italy, Basilicata ",49.7
538004399,EUITABER,"Italy, Bergamo ",33
538004499,EUITACAS,"Italy, Caserta ",60
538004799,EUITAMON,"Italy, Brianza (Lecco and Monza e Brianza) ",50
538005099,EUITAAOS,"Italy, Aosta Valley ",30
538005199,EUITAAVE,"Italy, Avellino ",15
538005299,EUITABEN,"Italy, Benevento ",15
538005399,EUITACAL,"Italy, Calabria ",73
538005599,EUITAMAR,"Italy, Marche ",78
538005799,EUITAPUG,"Italy, Puglia ",100
538005899,EUITAMOL,"Italy, Molise ",44
538005999,EUITANAL,"Italy, Naples Centre ",100
538006099,EUITANAN,"Italy, Naples North ",100
538006199,EUITAMAO,"Italy, Mantova and Cremona ",20
538006899,EUITAEMR,"Italy, Emilia-Romagna ",
542800099,EULAT10,Latvia ,68
543800099,EULIE10,Liechtenstein ,15
544000099,EULIT10,Lithuania ,67
547000099,EUMAL10,Malta ,85
552800099,EUNET10,The Netherlands ,91
557800099,EUNOR10,Norway ,
561600799,EUPOLKIE,"Poland, Kielce ",45
562000599,EUPORAZO,"Portugal, Azores ",45
564300399,EURUSKAR,"Russian Federation, Karelia ",81
564300499,EURUSSAM,"Russian Federation, Samara ",100
564300699,EURUSARK,"Russian Federation, Arkhangelsk ",78
564300799,EURUSPSK,"Russian Federation, Pskov ",73
